Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,119,10000
2,0,2,229,10000
3,0,2,335,10000
4,0,2,439,10000
5,0,2,551,10000
6,0,2,664,10000
7,0,2,773,10000
8,0,2,865,10000
9,0,2,973,10000
10,0,2,1076,0
11,0,2,1187,0
12,0,2,1295,0
13,0,2,1413,0
14,0,2,1536,0
15,0,2,1654,0
16,0,2,1748,0
17,0,2,1857,0
18,0,1,1968,0
19,0,2,2078,0
20,0,2,2205,0
21,0,8,2318,0
22,126,2,2319,0
23,196,1,2365,0
24,236,2,2417,0
25,246,2,2533,0
26,267,1,2625,0
27,306,1,2709,0
28,353,1,2785,0
29,391,2,2868,0
30,435,1,2947,0
31,435,8,3055,0
32,450,1,3172,0
33,450,1,3296,0
34,450,1,3413,0
35,450,1,3531,0
36,450,1,3639,0
37,450,1,3757,0
38,450,1,3884,0
39,450,15,3995,0
40,450,142,3995,0
41,450,252,4005,0
42,524,293,4008,0
43,600,296,4052,0
44,678,323,4072,0
45,696,419,4085,0
46,712,534,4080,0
47,724,631,4095,0
48,772,620,4156,0
49,834,664,4156,0
50,880,686,4190,0
51,883,792,4192,0
52,902,887,4195,0
53,902,1001,4195,0
54,902,1090,4195,0
55,902,1195,4195,0
56,902,1314,4195,0
57,902,1436,4195,0
58,902,1507,4250,0
59,902,1625,4250,0
60,902,1733,4250,0
61,902,1843,4250,0
62,902,1963,4250,0
63,992,1878,4360,0
64,1069,1860,4406,0
65,1136,1847,4469,0
66,1148,1937,4470,0
67,1168,2019,4472,0
68,1190,2124,4472,0
69,1224,2198,4483,0
70,1288,2160,4543,0
71,1289,2259,4543,0
72,1339,2297,4543,0
73,1354,2382,4544,0
74,1354,2484,4544,0
75,1354,2603,4544,0
76,1354,2691,4544,0
77,1354,2795,4544,0
78,1354,2901,4544,0
79,1354,3005,4545,0
80,1354,3115,4545,0
81,1354,3230,4545,0
82,1354,3332,4545,0
83,1354,3436,4545,0
84,1455,3352,4651,0
85,1524,3314,4721,0
86,1588,3351,4715,0
87,1599,3433,4716,0
88,1619,3490,4726,0
89,1648,3475,4820,0
90,1678,3425,4897,0
91,1685,3415,4900,0
92,1752,3370,4878,0
93,1787,3299,4914,0
94,1802,3252,4946,0
95,1802,3252,4946,0
96,1802,3252,4946,0
97,1802,3252,4946,0
98,1802,3252,4946,0
99,1802,3252,4946,0
100,1802,3252,4946,0
101,1804,3252,4944,0
102,1804,3252,4944,0
103,1804,3252,4944,0
104,1804,3252,4944,0
105,1899,3218,4883,0
106,1971,3190,4839,0
107,2046,3027,4927,0
108,2057,3027,4916,0
109,2076,3022,4902,0
110,2106,3022,4872,0
111,2107,3022,4871,0
112,2144,2994,4862,0
113,2202,2994,4804,0
114,2246,2822,4932,0
115,2262,2822,4916,0
116,2264,2819,4917,0
117,2264,2819,4917,0
118,2264,2819,4917,0
119,2264,2819,4917,0
120,2264,2819,4917,0
121,2264,2819,4917,0
122,2264,2819,4917,0
123,2264,2819,4917,0
124,2264,2819,4917,0
125,2264,2819,4917,0
126,2349,2807,4844,0
127,2424,2807,4769,0
128,2495,2736,4769,0
129,2508,2730,4762,0
130,2580,2635,4785,0
131,2580,2635,4785,0
132,2612,2635,4753,0
133,2651,2527,4822,0
134,2703,2527,4770,0
135,2757,2463,4780,0
136,2773,2320,4907,0
137,2775,2320,4905,0
138,2775,2320,4905,0
139,2775,2320,4905,0
140,2775,2320,4905,0
141,2775,2320,4905,0
142,2775,2320,4905,0
143,2775,2320,4905,0
144,2775,2320,4905,0
145,2775,2320,4905,0
146,2775,2320,4905,0
147,2830,2320,4850,0
148,2913,2255,4832,0
149,2989,2255,4756,0
150,3054,2230,4716,0
151,3055,2230,4715,0
152,3108,2164,4728,0
153,3216,2082,4702,0
154,3252,2082,4666,0
155,3339,2082,4579,0
156,3389,2082,4529,0
157,3405,2082,4513,0
158,3414,2082,4504,0
159,3414,2082,4504,0
160,3461,2082,4457,0
161,3461,2082,4457,0
162,3461,2082,4457,0
163,3461,2082,4457,0
164,3469,2082,4449,0
165,3483,2082,4435,0
166,3483,2082,4435,0
167,3494,2082,4424,0
168,3495,2082,4423,0
169,3653,2044,4303,0
170,3817,1958,4225,0
171,3820,1958,4222,0
172,3942,1892,4166,0
173,3962,1892,4146,0
174,4132,1778,4090,0
175,4155,1778,4067,0
176,4452,1606,3942,0
177,4578,1536,3886,0
178,4611,1536,3853,0
179,4681,1536,3783,0
180,4681,1536,3783,0
181,4819,1398,3783,0
182,4969,1248,3783,0
183,4969,1248,3783,0
184,5090,1127,3783,0
185,5090,1127,3783,0
186,5216,1001,3783,0
187,5216,1001,3783,0
188,5403,814,3783,0
189,5541,676,3783,0
190,5604,676,3720,0
191,5738,557,3705,0
192,5859,557,3584,0
193,5966,557,3477,0
194,5985,548,3467,0
195,5998,548,3454,0
196,6152,426,3422,0
197,6187,426,3387,0
198,6307,426,3267,0
199,6380,403,3217,0
200,6392,403,3205,0
201,6393,403,3204,0
202,6402,403,3195,0
203,6492,313,3195,0
204,6492,313,3195,0
205,6492,313,3195,0
206,6581,224,3195,0
207,6581,224,3195,0
208,6690,115,3195,0
209,6690,115,3195,0
210,6805,0,3195,0
211,6805,0,3195,0
212,6869,0,3131,0
213,6972,0,3028,0
214,6995,0,3005,0
215,7048,0,2952,0
216,7065,0,2935,0
217,7076,0,2924,0
218,7104,0,2896,0
219,7142,0,2858,0
220,7193,0,2807,0
221,7194,0,2806,0
222,7246,0,2754,0
223,7255,0,2745,0
224,7255,0,2745,0
225,7255,0,2745,0
226,7255,0,2745,0
227,7255,0,2745,0
228,7255,0,2745,0
229,7255,0,2745,0
230,7255,0,2745,0
231,7255,0,2745,0
232,7255,0,2745,0
233,7269,0,2731,0
234,7322,0,2678,0
235,7437,0,2563,0
236,7465,0,2535,0
237,7498,0,2502,0
238,7517,0,2483,0
239,7542,0,2458,0
240,7570,0,2430,0
241,7571,0,2429,0
